z detetor cmÂ ,delta_phi_ar Graus,delta_phi_acrilico,u(z),u(ar),u(acril)
37,31.4,,1,0.1,
48,24.8,,1,0.1,
57,12.2,,1,0.1,
69,10.2,,1,0.1,
80,5.84,4.38,1,0.01,0.01
90,-1.46,-3.28,1,0.01,0.01
100,-9.12,-11.3,1,0.01,0.1
110,-15.7,-17.1,1,0.1,0.1
120,-23.7,-25.9,1,0.1,0.1
132,-31.4,-33.2,1,0.1,0.1
140,-38.3,-40.1,1,0.1,0.1
151,-46,-47.8,1,0.1,0.1
164,-54.7,-56.5,1,0.1,0.1
172,-60.2,-61.6,1,0.1,0.1
183,-68.2,-69.7,1,0.1,0.1
190,-73.3,-75.1,1,0.1,0.1
201,-81,-82.3,1,0.1,0.1
210,-87.2,-89,1,0.1,0.1
221,-94.7,-96.3,1,0.1,0.1
229,-101,-103,1,1,1
241,-109,-111,1,1,1
250,-116,-117,1,1,1
261,-124,-125,1,1,1
271,-131,-133,1,1,1
282,-138,-140,1,1,1
291,-145,-146,1,1,1
299,-150,-152,1,1,1
